level,xp_to_next
1,50
2,100
3,225
4,412
5,630
6,850
7,1021
8,1151
9,1332
10,1443
11,1804
12,2254
13,2818
14,3523
15,4403
16,5504
17,6880
18,8600
19,10750
20,13438
21,16797
22,20997
23,26246
24,32807
25,41009
26,51261
27,64076
28,69843
29,76129
30,82981
31,90449
32,98590
33,107463
34,117134
35,127676
36,139167
37,151692
38,165345
39,180226
40,196446
41,214126
42,233398
43,254403
44,277300
45,302257
46,329460
47,359111
48,391431
49,426660
50,465059
51,506915
52,552537
53,602265
54,656469
55,715552
56,779951
57,850147
58,926660
59,1010059
60,1100965
61,1200052
62,1308056
63,1425781
64,1554102
65,1693970
66,1846428
67,2012606
68,2193741
69,2391178
70,2606384
71,2840958
72,3096644
73,3375342
74,3679123
75,4010244
76,4371166
77,4764571
78,5193383
79,5660787
80,6170258
81,6725581
82,7330884
83,7990663
84,8709823
85,9493707
86,10348140
87,11279473
88,12294626
89,13401142
90,14607245
91,15921896
92,17354867
93,18916805
94,20619318
95,22475056
96,24497812
97,26702614
98,29105850
99,0
