keys,en,ko
Inventory,Inventory,인벤토리
Map,Map,맵
Stats,Stats,스탯
Settings,Settings,설정
LEVEL-UP,LEVEL-UP,레벨 상승
INSIGHT,INSIGHT,정보
BACK,BACK,뒤로
SORT: %s,SORT: %s,분류: %s
EQUIP / UNEQUIP,EQUIP / UNEQUIP,장착/해제
DISCARD,DISCARD,버리기
CLOSE,CLOSE,닫기
WPN,WPN,무기
ARM,ARM,방어구
CON,CON,소모품
MAT,MAT,재료
TOL,TOL,도구
TIME,TIME,시간
NAME,NAME,이름
WEIGHT,WEIGHT,무게
RARITY,RARITY,희귀도
Attribute Points,Attribute Points,속성 포인트
GENERAL,GENERAL,일반
DEFENSE,DEFENSE,방어력
Max Weight: %.1f,Max Weight: %.1f,최대 장비 무게: %.1f
Current: %.1f,Current: %.1f,현재 무게: %.1f
Weapon,Weapon,무기
Base,Base,기본
Attr Bonus,Attr Bonus,추가 속성 점수
Other,Other,기타
Total,Total,전체
Health,Health,체력
Stamina,Stamina,지구력
Strength,Strength,근력
Dexterity,Dexterity,민첩성
Intelligence,Intelligence,지력
Faith,Faith,신앙
Focus,Focus,집중력
Equip Load,Equip Load,최대 장비 무게
Life Points,Life Points,생명력 포인트
Stamina Points,Stamina Points,지구력 포인트
Focus Points,Focus Points,집중력 포인트
Stamina Regen,Stamina Regen,지구력 재생
Focus Gain,Focus Gain,집중력 획득
Armor,Armor,물리 저항
Defense,Defense,방어
COMBAT,COMBAT,전투
Damage,Damage,피해
Attack Speed,Attack Speed,공격 속도
Critical,Critical,치명타
Magic Damage,Magic Damage,마법 피해
Damage to All,Damage to All,전체 피해
Vampirism,Vampirism,흡혈
Regen,Regen,재생
Counter,Counter,반격
Evasion,Evasion,회피
Magic HP,Magic HP,마법 체력
Retaliation,Retaliation,보복
ATTR_DESC_health,Raises maximum Life.,최대 생명력을 올립니다.
ATTR_DESC_stamina,"Raises Stamina and Stamina Regen. Empty Stamina causes Tired, which halves Evasion.","지구력과 재생을 올립니다. 지구력이 비면 Tired가 되어 회피가 반감됩니다."
ATTR_DESC_strength,"Raises Defense and Retaliation. Improves Strength-scaling weapons.","방어와 보복을 올립니다. 근력 스케일 무기의 위력이 증가합니다."
ATTR_DESC_dexterity,"Raises Attack Speed, Evasion, Critical, and Counter. Improves Dexterity-scaling weapons.","공격 속도, 회피, 치명타, 반격을 올립니다. 민첩성 스케일 무기의 위력이 증가합니다."
ATTR_DESC_intelligence,"Raises Magic Damage. Improves Intelligence-scaling weapons.","마법 피해를 올립니다. 지력 스케일 무기의 위력이 증가합니다."
ATTR_DESC_faith,"Raises Vampirism, Regen, and Magic HP. Improves Faith-scaling weapons.","흡혈, 재생, 마법 체력을 올립니다. 신앙 스케일 무기의 위력이 증가합니다."
